ID,CDUID,CDNAME,centroid_x,centroid_y
0,2447,La Haute-Yamaska,-72.65237278345691,45.416312686466306
1,2448,Acton,-72.53733048575758,45.6210326484579
2,2449,Drummond,-72.47074121494435,45.857647044426834
3,2450,Nicolet-Yamaska,-72.53466277444817,46.125411278725096
4,2451,Maskinongé,-73.08699480251,46.52846545653304
5,2452,D'Autray,-73.29583111091888,46.236020355655064
6,2453,Pierre-De Saurel,-72.99805518926702,45.96429241453654
7,2454,Les Maskoutains,-72.90710198586696,45.67183250190393
8,2455,Rouville,-73.03262423982862,45.41325667991179
9,2456,Le Haut-Richelieu,-73.22981409249014,45.21441193566066
10,2457,La Vallée-du-Richelieu,-73.20126627078679,45.615880359401245
11,2458,Longueuil,-73.42040441452542,45.522988462975874
12,2459,Marguerite-D'Youville,-73.32013522148756,45.71931657891811
13,2460,L'Assomption,-73.44711370388993,45.827830684410294
14,2461,Joliette,-73.45277295706752,46.049935118548724
15,2462,Matawinie,-74.04361224934766,46.78996190766476
16,2463,Montcalm,-73.70354322677106,45.92444437731285
17,2464,Les Moulins,-73.65515563264397,45.74674947750772
18,2465,Laval,-73.72576555982977,45.60484641244059
19,2466,Montréal,-73.68361840417965,45.51658463803606
20,2467,Roussillon,-73.60390611218418,45.346508964942394
21,2468,Les Jardins-de-Napierville,-73.53598589952547,45.155507093218354
22,2469,Le Haut-Saint-Laurent,-74.07883431818057,45.07995670622257
23,2470,Beauharnois-Salaberry,-73.94364593601512,45.23626488255562
24,2471,Vaudreuil-Soulanges,-74.24086478019045,45.36865590866616
25,2472,Deux-Montagnes,-74.0351973283873,45.53582649244516
26,2473,Thérèse-De Blainville,-73.83259716567744,45.70549772982471
27,2474,Mirabel,-74.05982895601338,45.65199740397367
28,2475,La Rivière-du-Nord,-74.02056345497283,45.83305772661204
29,2476,Argenteuil,-74.48241708177228,45.72957378158253
30,2477,Les Pays-d'en-Haut,-74.25515680885093,45.929499643661416
31,2478,Les Laurentides,-74.57686977336233,46.15471438180754
32,2479,Antoine-Labelle,-75.18639093677237,46.89644428184791
33,2480,Papineau,-75.17067054777674,45.8581295832445
34,2481,Gatineau,-75.65825286791305,45.49097860410954
35,2482,Les Collines-de-l'Outaouais,-75.87411650053741,45.6494236223656
36,2483,La Vallée-de-la-Gatineau,-76.16177655190587,46.9059851882874
37,2484,Pontiac,-77.09370776323729,46.42533877839494
38,2485,Témiscamingue,-78.56060800796865,47.12959941246303
39,2486,Rouyn-Noranda,-78.87307650185154,48.13256250150928
40,2487,Abitibi-Ouest,-79.11155782206333,48.74715027198451
41,2488,Abitibi,-77.9327908191862,48.67340390832693
42,2489,La Vallée-de-l'Or,-76.75706188123492,48.15104965952247
43,2490,La Tuque,-73.98169438094907,48.04551444705251
44,2491,Le Domaine-du-Roy,-73.26297478679055,48.815732415293624
45,2492,Maria-Chapdelaine,-72.26709074261923,49.986416154800125
46,2493,Lac-Saint-Jean-Est,-71.74188163545023,48.41370360661075
47,2494,Le Saguenay-et-son-Fjord,-70.67549225692053,50.11026641225619
48,2495,La Haute-Côte-Nord,-69.56853011771804,49.080757207596
49,2496,Manicouagan,-68.75157067607589,50.413510750225534
50,2497,Sept-Rivières--Caniapiscau,-67.83693783479231,52.61423144611864
51,2498,Minganie--Le Golfe-du-Saint-Laurent,-61.92859133542517,51.07447396981933
52,2499,Nord-du-Québec,-73.0069436563193,55.97106437143937
53,2401,Les Îles-de-la-Madeleine,-61.797338565267935,47.402550051206816
54,2402,Le Rocher-Percé,-64.80148310504183,48.50027271311237
55,2403,La Côte-de-Gaspé,-64.91869620568193,48.90821163601462
56,2404,La Haute-Gaspésie,-65.9381555826729,48.970714540757285
57,2405,Bonaventure,-65.59635938014688,48.340105111119435
58,2406,Avignon,-66.78319560304958,48.14951694863086
59,2407,La Matapédia,-67.0889208996258,48.446718200744314
60,2408,Matane,-67.00630060428239,48.78109174286444
61,2409,La Mitis,-67.96801319533398,48.33577677087205
62,2410,Rimouski-Neigette,-68.42906167983497,48.191254777618575
63,2411,Les Basques,-68.97123190820177,48.05796082301255
64,2412,Rivière-du-Loup,-69.29484165582346,47.84878988931411
65,2413,Témiscouata,-68.86445594139079,47.62964060213212
66,2414,Kamouraska,-69.69226467359033,47.4197844600874
67,2415,Charlevoix-Est,-70.15854133057107,47.86891186538736
68,2416,Charlevoix,-70.790403426034,47.69053177821442
69,2417,L'Islet,-70.02503391339026,47.05463934168577
70,2418,Montmagny,-70.33021532718597,46.811288132215104
71,2419,Bellechasse,-70.74582273499092,46.67187461562762
72,2420,L'Île-d'Orléans,-70.9582203843368,46.93285117906289
73,2421,La Côte-de-Beaupré,-71.29587618628179,47.497338882599365
74,2422,La Jacques-Cartier,-71.6666139234447,47.27984007334003
75,2423,Québec,-71.3600738521008,46.83900948700419
76,2425,Lévis,-71.2359499968839,46.706559142855234
77,2426,La Nouvelle-Beauce,-71.01041940218393,46.487251378051134
78,2427,Robert-Cliche,-70.85115129244078,46.264612601069615
79,2428,Les Etchemins,-70.36889099483575,46.36684631831333
80,2429,Beauce-Sartigan,-70.6590531266938,45.97540740320436
81,2430,Le Granit,-70.92907685527204,45.627078541565226
82,2431,Les Appalaches,-71.29960448250038,46.06549316872157
83,2432,L'Érable,-71.70209027260276,46.25359760929015
84,2433,Lotbinière,-71.54971983750727,46.49481740447712
85,2434,Portneuf,-72.03977737773722,47.011494911305796
86,2435,Mékinac,-73.13769056401456,47.04396807742785
87,2436,Shawinigan,-72.88171885954483,46.71183912031727
88,2437,Francheville,-72.46773862194621,46.50375279287538
89,2438,Bécancour,-72.19959949688645,46.359559565504796
90,2439,Arthabaska,-71.94306339906571,45.99942755442451
91,2440,Les Sources,-71.7976339979842,45.74944936902978
92,2441,Le Haut-Saint-François,-71.45528778903537,45.47402989554842
93,2442,Le Val-Saint-François,-72.08942877317577,45.55468606799986
94,2443,Sherbrooke,-71.96170962646374,45.401577564437005
95,2444,Coaticook,-71.75207425831833,45.1426645466266
96,2445,Memphrémagog,-72.21982632005381,45.206928298652514
97,2446,Brome-Missisquoi,-72.75723574377162,45.16792982946403
