transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,network_node_code_starting,network_node_name_ending,network_node_code_ending,notes
36187,L1116,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.650,1.019,1.650,1.019,120,0.69,107,118,Val-TÃƒÂ©treau,QC_VTR_DSS,Hull-2,QC_HL2_GSS,NULL
36188,L1117,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,2,ac,14.400,8.889,32.775,20.231,120,13.79,107,118,Dorion,QC_DRN_DSS,Coteau-du-Lac,QC_CDL_DSS,line name assumed
36189,L1117,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,32.775,20.231,120,13.79,107,118,Vaudreuil-Soulanges,QC_VDS_DSS,Dorion,QC_DRN_DSS,NULL
36190,L1118,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,22.800,14.074,59.550,36.759,120,25.05,107,118,Calumet,QC_CAL_DSS,Lachute,QC_LCT_DSS,NULL
36191,L1118,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,28.875,17.824,59.550,36.759,120,25.05,107,118,SGL Canada,QC_SGL_ISS,Lafontaine,QC_LAF_TSS,NULL
36192,L1118,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.875,4.861,59.550,36.759,120,25.05,107,118,Lachute,QC_LCT_DSS,SGL Canada,QC_SGL_ISS,NULL
36193,L1119,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,21.000,12.963,60.375,37.269,120,25.40,107,118,Paquin,QC_PAQ_DSS,Achigan,QC_ACH_DSS,NULL
36194,L1119,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,60.375,37.269,120,25.40,107,118,Lafontaine,QC_LAF_TSS,Paquin,QC_PAQ_DSS,NULL
36195,L1119,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,21.000,12.963,60.375,37.269,120,25.40,107,118,Achigan,QC_ACH_DSS,Saint-Lin,QC_SLI_DSS,NULL
36196,L1121,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,21.000,12.963,86.625,53.472,120,36.44,107,118,Paquin,QC_PAQ_DSS,Achigan,QC_ACH_DSS,NULL
36197,L1121,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,26.250,16.204,86.625,53.472,120,36.44,107,118,Lafontaine,QC_LAF_TSS,Lachute,QC_LCT_DSS,NULL
36198,L1121,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,86.625,53.472,120,36.44,107,118,Lafontaine,QC_LAF_TSS,Paquin,QC_PAQ_DSS,NULL
36199,L1121,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,21.000,12.963,86.625,53.472,120,36.44,107,118,Achigan,QC_ACH_DSS,Saint-Lin,QC_SLI_DSS,NULL
36200,L1122,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,19.425,11.991,120,8.17,107,118,Paquin,QC_PAQ_DSS,Arthur-Buies,QC_ARB_DSS,NULL
36201,L1122,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,2.625,1.620,19.425,11.991,120,8.17,107,118,Saint-JÃƒÂ©rÃƒÂ´me,QC_SJR_DSS,Cascades Groupe Papiers,QC_CGP_ISS,NULL
36202,L1122,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.875,4.861,19.425,11.991,120,8.17,107,118,Rolland,QC_ROL_DSS,Lafontaine,QC_LAF_TSS,NULL
36203,L1122,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,19.425,11.991,120,8.17,107,118,Cascades Groupe Papiers,QC_CGP_ISS,Rolland,QC_ROL_DSS,NULL
36204,L1122,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,2.625,1.620,19.425,11.991,120,8.17,107,118,Arthur-Buies,QC_ARB_DSS,Saint-JÃƒÂ©rÃƒÂ´me,QC_SJR_DSS,NULL
36205,L1123,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,28.500,17.593,28.500,17.593,120,11.99,107,118,Notre-Dame-du-Laus,QC_NDL_DSS,High Falls,QC_HIF_GSS,NULL
36206,L1124,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,26.250,16.204,26.250,16.204,120,11.04,107,118,Contrecoeur,QC_CTC_DSS,Sorel,QC_SOR_DSS,NULL
36207,L1125,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,39.900,24.630,39.900,24.630,120,16.79,107,118,Notre-Dame-du-Laus,QC_NDL_DSS,Lac-des-ÃƒÅ½les,QC_LDI_DSS,NULL
36208,L1126,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,5.250,3.241,120,2.21,107,118,Lachute,QC_LCT_DSS,SGL Canada,QC_SGL_ISS,NULL
36209,L1127,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,34.125,21.065,120,14.36,107,118,Paquin,QC_PAQ_DSS,Lafontaine,QC_LAF_TSS,NULL
36210,L1127,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,15.750,9.722,34.125,21.065,120,14.36,107,118,Doc-Grignon,QC_DOG_DSS,Paquin,QC_PAQ_DSS,NULL
36211,L1128,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,34.125,21.065,120,14.36,107,118,Paquin,QC_PAQ_DSS,Lafontaine,QC_LAF_TSS,NULL
36212,L1128,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,15.750,9.722,34.125,21.065,120,14.36,107,118,Doc-Grignon,QC_DOG_DSS,Paquin,QC_PAQ_DSS,NULL
36213,L1130,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.700,3.519,5.700,3.519,120,2.40,107,118,Bryson,QC_BRY_GSS,Emballages Smurfit-Stone,QC_ESS_ISS,NULL
36214,L1131,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.000,4.321,7.000,4.321,120,2.95,107,118,Les CÃƒÂ¨dres,QC_LCS_GSS,Dorion,QC_DRN_DSS,NULL
36215,L1132,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,18.375,11.343,120,7.73,107,118,Lachute,QC_LCT_DSS,Rigaud,QC_RIG_DSS,NULL
36216,L1133,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,18.375,11.343,120,7.73,107,118,Saint-Polycarpe,QC_SPL_DSS,Rigaud,QC_RIG_DSS,NULL
36217,L1135,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,7.980,4.926,120,3.36,107,118,Duvernay,QC_DUV_TSS,Landry,QC_LDY_DSS,NULL
36218,L1136,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,3.192,1.970,11.970,7.389,120,5.04,107,118,Duvernay,QC_DUV_TSS,Saint-FranÃƒÂ§ois,QC_SFR_DSS,NULL
36219,L1136,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,8.778,5.419,11.970,7.389,120,5.04,107,118,Saint-FranÃƒÂ§ois,QC_SFR_DSS,Terrebonne,QC_TER_DSS,NULL
36220,L1137,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Sainte-Rose,QC_SRO_DSS,Renaud,QC_RND_DSS,NULL
36221,L1137,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Duvernay,QC_DUV_TSS,Sainte-Rose,QC_SRO_DSS,NULL
36222,L1138,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,7.980,4.926,120,3.36,107,118,Duvernay,QC_DUV_TSS,Landry,QC_LDY_DSS,NULL
36223,L1139,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,2,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Sainte-Rose,QC_SRO_DSS,Renaud,QC_RND_DSS,NULL
