,Manchester Wind,Manchester Gas,Norway Wind,Norway Gas,Frankfurt Wind,Frankfurt Gas
0,1328.4981828252,-0.0,1235.498400201,-0.0,602.9837259832,-0.0
1,1781.9607002242965,745.3231402247038,841.2289536066919,276.2112397083081,336.1307846889999,-0.0
2,857.2960622315574,106.1555006434426,461.027097541,-0.0,133.160999770058,131.17968399794202
3,945.0188091848933,338.4789263479066,1048.655699629742,151.85207246525783,856.0643011352,-0.0
4,536.2628783844,-0.0,916.6978427577766,185.5358886642233,926.467062459466,124.4755221465341
5,2214.2954213252096,698.6825941157904,16.941507242532555,1284.0972068934675,129.5682858030002,-0.0
6,1712.27262638,-0.0,385.3219587853978,742.1566868516022,84.01007061664326,315.0840327793567
7,1325.4354319513945,591.1550726102055,315.1559164166,-0.0,63.658679315034775,544.6113345689653
8,2280.3489747076587,56.89293485434109,972.2125610060999,-0.0,268.0738776173096,210.71411526669027
9,1742.4278478917,-0.0,761.6650101947,-0.0,116.54631116280264,850.1361509221973
