name,f_nom,r_per_length,x_per_length
735kV_line,60,0.0186,0.2580
315kV_line,60,0.0390,0.3170 
230kV_line,60,0.0540,0.3960
120kV_line,60,0.1150,0.4200
69kV_line,60,0.1700,0.4400
